Timestamps,Date,mm/h Max Precip Rate,m3/m3 Water Content,degree_C Soil Temperature,mS/cm Saturation Extract EC,kPa Atmospheric Pressure,degree_C Air Temperature
15/07/21 14:15,15/07/21,0,0.307,23.4,0.525,100.24,35.7
15/07/21 14:30,15/07/21,0,0.307,23,0.527,100.24,36.7
15/07/21 14:45,15/07/21,0,0.307,22.6,0.531,100.21,36.4
15/07/21 15:00,15/07/21,0,0.307,22.3,0.534,100.19,36.8
15/07/21 15:15,15/07/21,0,0.307,22.1,0.535,100.17,36.9
15/07/21 15:30,15/07/21,0,0.307,21.9,0.537,100.15,36.6
15/07/21 15:45,15/07/21,0,0.307,21.8,0.54,100.14,36.2
15/07/21 16:00,15/07/21,0,0.308,21.6,0.54,100.12,36.5
15/07/21 16:15,15/07/21,0,0.308,21.5,0.537,100.11,36.3
15/07/21 16:30,15/07/21,0,0.308,21.4,0.538,100.09,36.4
15/07/21 16:45,15/07/21,0,0.308,21.4,0.54,100.08,36.2
15/07/21 17:00,15/07/21,0,0.308,21.3,0.54,100.06,36
15/07/21 17:15,15/07/21,0,0.308,21.2,0.542,100.05,35.4
15/07/21 17:30,15/07/21,0,0.308,21.2,0.543,100.04,35.5
15/07/21 17:45,15/07/21,0,0.308,21.1,0.543,100.01,34.9
15/07/21 18:00,15/07/21,0,0.308,21.1,0.543,99.98,35.1
15/07/21 18:15,15/07/21,0,0.308,21,0.543,99.97,35.1
15/07/21 18:30,15/07/21,0,0.308,21,0.542,99.97,34.8
15/07/21 18:45,15/07/21,0,0.308,21,0.542,99.97,34.2
15/07/21 19:00,15/07/21,0,0.308,21,0.54,99.97,32.8
15/07/21 19:15,15/07/21,0,0.308,20.9,0.542,99.97,31.7
15/07/21 19:30,15/07/21,0,0.308,20.9,0.543,99.97,30.8
15/07/21 19:45,15/07/21,0,0.308,20.9,0.542,99.98,29.9
15/07/21 20:00,15/07/21,0,0.308,20.9,0.542,99.99,28.9
15/07/21 20:15,15/07/21,0,0.308,20.9,0.542,100.01,28
15/07/21 20:30,15/07/21,0,0.308,20.9,0.543,100.03,27.2
15/07/21 20:45,15/07/21,0,0.308,20.8,0.542,100.04,26.4
15/07/21 21:00,15/07/21,0,0.308,20.8,0.543,100.05,25.8
15/07/21 21:15,15/07/21,0,0.308,20.8,0.542,100.07,25.5
15/07/21 21:30,15/07/21,0,0.308,20.8,0.543,100.08,25.1
15/07/21 21:45,15/07/21,0,0.308,20.8,0.543,100.11,24.8
